-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::lt         0.01%     415.000us         0.02%     700.000us     116.667us      12.000us         0.00%      12.000us       2.000us           0 b           0 b      36.00 Kb      36.00 Kb             6            --  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       1.000us           0 b           0 b           0 b           0 b            12            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       2.000us           0 b           0 b           0 b           0 b             6            --  
void cutlass::Kernel<cutlass_80_wmma_tensorop_f16_s1...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       2.000us           0 b           0 b           0 b           0 b             6            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       2.000us           0 b           0 b           0 b           0 b             6            --  
void reduce_1Block_kernel<float, 128, 7, cublasGemvT...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       1.000us           0 b           0 b           0 b           0 b            12            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       2.000us           0 b           0 b           0 b           0 b             6            --  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.000us         0.00%       9.000us       1.500us           0 b           0 b           0 b           0 b             6            --  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.000us         0.00%       7.000us       1.167us           0 b           0 b           0 b           0 b             6            --  
                                        cudaMemcpyAsync        33.37%        1.010s        33.37%        1.010s       3.661ms       6.000us         0.00%       6.000us       0.022us           0 b           0 b           0 b           0 b           276            --  
                                     aten::masked_fill_         0.00%      91.000us         0.01%     157.000us      26.167us       6.000us         0.00%       6.000us       1.000us           0 b           0 b           0 b           0 b             6            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b           0 b           0 b             6            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b           0 b           0 b             6            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b           0 b           0 b             6            --  
                                               aten::eq         0.00%     104.000us         0.01%     161.000us      26.833us       6.000us         0.00%       6.000us       1.000us           0 b           0 b       3.00 Kb       3.00 Kb             6            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b           0 b           0 b             6            --  
void at_cuda_detail::cub::DeviceReduceSingleTileKern...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b           0 b           0 b             6            --  
void at_cuda_detail::cub::DeviceCompactInitKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b           0 b           0 b             6            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.000us         0.00%       4.000us       0.667us           0 b           0 b           0 b           0 b             6            --  
                                          ProfilerStep*        25.28%     765.330ms       100.00%        3.028s     504.665ms       0.000us         0.00%        1.531s     255.213ms           0 b     -63.48 Mb           0 b     -58.07 Gb             6            --  
                                            aten::empty         3.82%     115.550ms         3.82%     115.550ms       5.367us       0.000us         0.00%       0.000us       0.000us      18.34 Kb      18.34 Kb      14.79 Gb      14.79 Gb         21528            --  
                                               aten::to         0.85%      25.827ms        32.33%     978.825ms     167.664us       0.000us         0.00%      25.640ms       4.392us      57.45 Mb       6.00 Mb       4.77 Gb     623.91 Mb          5838            --  
                                       aten::lift_fresh         0.00%      27.000us         0.00%      27.000us       0.562us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            48            --  
                                          aten::detach_         0.01%     155.000us         0.01%     177.000us       4.214us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            42            --  
                                                detach_         0.00%      22.000us         0.00%      22.000us       0.524us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            42            --  
                                         aten::_to_copy         0.89%      27.000ms        32.07%     970.942ms     201.524us       0.000us         0.00%      28.610ms       5.938us      57.45 Mb       1.50 Mb       4.77 Gb           0 b          4818            --  
                                    aten::empty_strided         1.01%      30.513ms         1.01%      30.513ms       6.325us       0.000us         0.00%       0.000us       0.000us      55.95 Mb      55.95 Mb       4.78 Gb       4.78 Gb          4824            --  
                                  cudaStreamSynchronize         0.75%      22.727ms         0.75%      22.727ms      90.187us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           252            --  
                                             aten::view         0.64%      19.461ms         0.64%      19.461ms       0.750us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         25938            --  
                                            aten::slice         0.23%       6.877ms         0.24%       7.323ms       3.622us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2022            --  
                                       aten::as_strided         0.24%       7.330ms         0.24%       7.330ms       0.301us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         24324            --  
                                        aten::embedding         0.01%     230.000us         0.04%       1.285ms      71.389us       0.000us         0.00%      65.000us       3.611us           0 b           0 b       4.37 Mb           0 b            18            --  
                                          aten::reshape         0.44%      13.406ms         0.90%      27.328ms       3.786us       0.000us         0.00%     529.000us       0.073us           0 b           0 b      80.40 Mb           0 b          7218            --  
                                          aten::resize_         0.01%     357.000us         0.01%     357.000us       5.409us       0.000us         0.00%       0.000us       0.000us       3.00 Kb       3.00 Kb       4.40 Mb       4.40 Mb            66            --  
                                             aten::full         0.00%      59.000us         0.01%     206.000us      34.333us       0.000us         0.00%       4.000us       0.667us           0 b           0 b     141.00 Kb           0 b             6            --  
                                        aten::unsqueeze         0.11%       3.301ms         0.11%       3.402ms       2.953us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1152            --  
                                           aten::expand         0.01%     391.000us         0.01%     432.000us       4.800us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            90            --  
                                       aten::layer_norm         0.35%      10.530ms         2.76%      83.713ms      52.255us       0.000us         0.00%      21.538ms      13.444us           0 b           0 b       1.81 Gb     -12.44 Mb          1602            --  
                                           aten::linear         1.68%      50.907ms        10.43%     315.719ms      54.755us       0.000us         0.00%     210.879ms      36.573us           0 b           0 b       8.83 Gb      94.50 Mb          5766            --  
                                                aten::t         0.47%      14.135ms         1.05%      31.938ms       5.522us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          5784            --  
                                        aten::transpose         1.09%      33.146ms         1.23%      37.180ms       2.841us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         13086            --  
                                       aten::contiguous         0.31%       9.452ms         2.70%      81.680ms      33.284us       0.000us         0.00%      36.819ms      15.004us           0 b           0 b       2.83 Gb     261.96 Mb          2454            --  
                                            aten::clone         0.41%      12.465ms         2.79%      84.533ms      31.660us       0.000us         0.00%      41.843ms      15.672us           0 b           0 b       2.90 Gb    -102.81 Mb          2670            --  
                                       aten::empty_like         0.26%       7.911ms         0.83%      25.178ms       9.409us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       2.91 Gb     102.81 Mb          2676            --  
                                          aten::softmax         0.02%     504.000us         0.16%       4.713ms      21.819us       0.000us         0.00%       1.153ms       5.338us           0 b           0 b     300.09 Mb     139.00 Kb           216            --  
                                          aten::dropout         0.00%      17.000us         0.00%      17.000us       0.009us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1986            --  
                                     aten::_unsafe_view         0.08%       2.356ms         0.08%       2.356ms       0.928us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          2538            --  
                                           aten::repeat         0.01%     206.000us         0.02%     653.000us      54.417us       0.000us         0.00%      12.000us       1.000us          24 b           8 b     693.00 Kb           0 b            12            --  
                                            aten::alias         0.00%       2.000us         0.00%       2.000us       0.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            12            --  
                                           aten::unfold         0.00%      65.000us         0.00%      71.000us       2.958us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            24            --  
                                        aten::expand_as         0.00%      93.000us         0.01%     242.000us       5.762us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            42            --  
                                            aten::randn         0.01%     201.000us         0.03%     935.000us      38.958us       0.000us         0.00%      31.000us       1.292us           0 b           0 b     768.00 Kb           0 b            24            --  
                                              aten::log         0.00%      66.000us         0.00%      66.000us      11.000us       0.000us         0.00%       0.000us       0.000us          24 b          24 b           0 b           0 b             6            --  
                                              aten::neg         0.00%      30.000us         0.00%      30.000us       5.000us       0.000us         0.00%       0.000us       0.000us          24 b          24 b           0 b           0 b             6            --  
                                           aten::unbind         0.00%      73.000us         0.00%     151.000us      25.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                                           aten::select         0.04%       1.121ms         0.04%       1.187ms       4.825us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           246            --  
                                           aten::matmul         0.73%      22.124ms         3.33%     100.696ms      42.813us       0.000us         0.00%      56.666ms      24.093us           0 b           0 b       2.30 Gb           0 b          2352            --  
                                           aten::conv2d         0.09%       2.743ms         1.06%      32.080ms     118.815us       0.000us         0.00%     539.685ms       1.999ms           0 b           0 b       6.05 Gb     220.73 Mb           270     14835.795  
                                      aten::convolution         0.05%       1.419ms         1.03%      31.084ms     115.126us       0.000us         0.00%     571.819ms       2.118ms           0 b           0 b       6.05 Gb      16.00 Mb           270            --  
                                     aten::_convolution         0.11%       3.335ms         0.98%      29.740ms     110.148us       0.000us         0.00%     575.819ms       2.133ms           0 b           0 b       6.05 Gb           0 b           270            --  
                                  cudaStreamGetPriority         0.00%      30.000us         0.00%      30.000us       0.111us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           270            --  
                       cudaDeviceGetStreamPriorityRange         0.00%      26.000us         0.00%      26.000us       0.096us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           270            --  
                                       aten::group_norm         0.24%       7.395ms         6.49%     196.608ms     119.591us       0.000us         0.00%     237.295ms     144.340us           0 b           0 b       7.92 Gb      -1.58 Gb          1644            --  
                                          aten::permute         0.89%      27.058ms         0.97%      29.318ms       3.811us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          7692            --  
                     aten::scaled_dot_product_attention         0.29%       8.636ms         2.03%      61.479ms      79.430us       0.000us         0.00%     252.123ms     325.740us       3.12 Kb      -8.95 Kb       1.08 Gb           0 b           774            --  
          aten::_scaled_dot_product_efficient_attention         0.35%      10.593ms         1.75%      52.843ms      68.273us       0.000us         0.00%     252.123ms     325.740us      12.06 Kb         -32 b       1.08 Gb           0 b           774            --  
                                            aten::chunk         0.03%       1.024ms         0.22%       6.728ms      17.521us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           384            --  
                                            aten::split         0.06%       1.870ms         0.19%       5.813ms      15.138us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           384            --  
                                           aten::narrow         0.06%       1.836ms         0.13%       3.854ms       4.941us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           780            --  
                                 cudaDeviceGetAttribute         0.00%      40.000us         0.00%      40.000us       0.323us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           124            --  
                                  cudaFuncGetAttributes         0.01%     193.000us         0.01%     193.000us       6.433us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            30            --  
                                    cudaLaunchKernelExC         0.01%     411.000us         0.01%     411.000us       6.850us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            60            --  
                                    cudaPeekAtLastError         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36            --  
                                             aten::set_         0.02%     559.000us         0.02%     559.000us      93.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                                             aten::item         0.48%      14.468ms         5.31%     160.763ms     811.934us       0.000us         0.00%       1.136ms       5.737us           0 b           0 b           0 b           0 b           198            --  
                                       aten::is_nonzero         0.15%       4.543ms         1.74%      52.811ms       2.200ms       0.000us         0.00%      19.000us       0.792us           0 b           0 b           0 b           0 b            24            --  
                                             aten::rsub         0.01%     256.000us         0.03%       1.055ms      21.979us       0.000us         0.00%       0.000us       0.000us         320 b         152 b           0 b           0 b            48            --  
                                      aten::result_type         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            72            --  
                                             aten::sqrt         0.01%     423.000us         0.01%     423.000us       5.036us       0.000us         0.00%       0.000us       0.000us         336 b         336 b           0 b           0 b            84            --  
                                   aten::_reshape_alias         0.00%      43.000us         0.00%      43.000us       1.792us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            24            --  
                                            aten::stack         0.00%     110.000us         0.02%     708.000us      59.000us       0.000us         0.00%      24.000us       2.000us           0 b           0 b      18.00 Mb           0 b            12            --  
                                           aten::detach         0.00%      68.000us         0.00%     127.000us       5.292us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            24            --  
                                                 detach         0.00%      69.000us         0.00%      69.000us       2.875us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            24            --  
                                     aten::resolve_conj         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            24            --  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            24            --  
                                          aten::flatten         0.00%      39.000us         0.00%      87.000us      14.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             6            --  
                                       aten::zeros_like         0.00%      34.000us         0.01%     289.000us      48.167us       0.000us         0.00%      12.000us       2.000us           0 b           0 b       9.00 Mb           0 b             6            --  
                                            aten::zero_         0.00%      32.000us         0.01%     188.000us      31.333us       0.000us         0.00%      12.000us       2.000us           0 b           0 b           0 b           0 b             6            --  
                                  cudaDeviceSynchronize         0.00%     148.000us         0.00%     148.000us      21.143us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             7            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.028s
Self CUDA time total: 1.869s

