-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::div         0.68%      20.663ms         1.09%      32.995ms      21.997us      18.656ms         1.00%      18.804ms      12.536us          20 b          -4 b       3.76 Gb       3.76 Gb          1500            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      18.592ms         0.99%      18.592ms      48.417us           0 b           0 b           0 b           0 b           384            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      18.560ms         0.99%      18.560ms      13.052us           0 b           0 b           0 b           0 b          1422            --  
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      16.982ms         0.91%      16.982ms      35.379us           0 b           0 b           0 b           0 b           480            --  
fmha_cutlassF_f16_aligned_64x128_rf_sm80(PyTorchMemE...         0.00%       0.000us         0.00%       0.000us       0.000us      16.451ms         0.88%      16.451ms      68.546us           0 b           0 b           0 b           0 b           240            --  
void cutlass_cudnn_infer::Kernel<cutlass_tensorop_f1...         0.00%       0.000us         0.00%       0.000us       0.000us      15.419ms         0.83%      15.419ms     256.983us           0 b           0 b           0 b           0 b            60            --  
void cutlass::Kernel<cutlass_80_tensorop_f16_s16816g...         0.00%       0.000us         0.00%       0.000us       0.000us      14.128ms         0.76%      14.128ms     117.733us           0 b           0 b           0 b           0 b           120            --  
ampere_fp16_s16816gemm_fp16_64x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      13.881ms         0.74%      13.881ms      28.919us           0 b           0 b           0 b           0 b           480            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      12.626ms         0.68%      12.626ms       5.480us           0 b           0 b           0 b           0 b          2304            --  
fmha_cutlassF_f16_aligned_32x128_gmem_sm80(PyTorchMe...         0.00%       0.000us         0.00%       0.000us       0.000us      12.316ms         0.66%      12.316ms      41.891us           0 b           0 b           0 b           0 b           294            --  
sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize96x128...         0.00%       0.000us         0.00%       0.000us       0.000us      12.095ms         0.65%      12.095ms       2.016ms           0 b           0 b           0 b           0 b             6            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       9.780ms         0.52%       9.780ms       4.179us           0 b           0 b           0 b           0 b          2340            --  
ampere_fp16_s16816gemm_fp16_128x64_ldg8_relu_f2f_sta...         0.00%       0.000us         0.00%       0.000us       0.000us       7.731ms         0.41%       7.731ms      13.422us           0 b           0 b           0 b           0 b           576            --  
sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwc...         0.00%       0.000us         0.00%       0.000us       0.000us       7.110ms         0.38%       7.110ms       1.185ms           0 b           0 b           0 b           0 b             6            --  
void cutlass::Kernel<cutlass_80_tensorop_f16_s16816g...         0.00%       0.000us         0.00%       0.000us       0.000us       6.314ms         0.34%       6.314ms      43.847us           0 b           0 b           0 b           0 b           144            --  
void cutlass::Kernel<cutlass_80_tensorop_f16_s16816g...         0.00%       0.000us         0.00%       0.000us       0.000us       6.089ms         0.33%       6.089ms       9.061us           0 b           0 b           0 b           0 b           672            --  
                               aten::upsample_nearest2d         0.05%       1.587ms         0.08%       2.464ms      26.495us       5.920ms         0.32%       6.105ms      65.645us           0 b           0 b       1.51 Gb       1.49 Gb            93            --  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       5.379ms         0.29%       5.379ms      23.592us           0 b           0 b           0 b           0 b           228            --  
void cutlass::Kernel<cutlass_80_wmma_tensorop_f16_s1...         0.00%       0.000us         0.00%       0.000us       0.000us       4.799ms         0.26%       4.799ms      16.663us           0 b           0 b           0 b           0 b           288            --  
