-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
          tvmgen_default_fused_nn_conv2d_add_add_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      11.959ms         0.74%      11.959ms     996.583us           0 b           0 b            12  
          tvmgen_default_fused_nn_batch_matmul_7_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      11.827ms         0.73%      11.827ms     394.233us           0 b           0 b            30  
tvmgen_default_fused_nn_conv2d_add_expand_dims_expan...         0.00%       0.000us         0.00%       0.000us       0.000us      11.753ms         0.73%      11.753ms     979.417us           0 b           0 b            12  
         tvmgen_default_fused_nn_batch_matmul_11_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      10.956ms         0.68%      10.956ms     182.600us           0 b           0 b            60  
tvmgen_default_fused_nn_conv2d_add_expand_dims_expan...         0.00%       0.000us         0.00%       0.000us       0.000us      10.633ms         0.66%      10.633ms       1.772ms           0 b           0 b             6  
         tvmgen_default_fused_nn_batch_matmul_20_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      10.588ms         0.66%      10.588ms     352.933us           0 b           0 b            30  
          tvmgen_default_fused_nn_batch_matmul_9_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.148ms         0.57%       9.148ms     304.933us           0 b           0 b            30  
tvmgen_default_fused_nn_conv2d_add_expand_dims_expan...         0.00%       0.000us         0.00%       0.000us       0.000us       8.883ms         0.55%       8.883ms       1.480ms           0 b           0 b             6  
        tvmgen_default_fused_nn_conv2d_add_add_7_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       8.168ms         0.51%       8.168ms       1.361ms           0 b           0 b             6  
tvmgen_default_fused_nn_conv2d_add_expand_dims_expan...         0.00%       0.000us         0.00%       0.000us       0.000us       8.165ms         0.51%       8.165ms       1.361ms           0 b           0 b             6  
        tvmgen_default_fused_nn_conv2d_add_add_6_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       8.097ms         0.50%       8.097ms     269.900us           0 b           0 b            30  
            tvmgen_default_fused_nn_conv2d_add_7_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       8.063ms         0.50%       8.063ms     268.767us           0 b           0 b            30  
         tvmgen_default_fused_nn_batch_matmul_10_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.438ms         0.46%       7.438ms     247.933us           0 b           0 b            30  
                       tvmgen_default_fused_mean_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.377ms         0.46%       7.377ms      94.577us           0 b           0 b            78  
                   tvmgen_default_fused_variance_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.323ms         0.45%       7.323ms      93.885us           0 b           0 b            78  
       tvmgen_default_fused_nn_conv2d_add_add_11_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.129ms         0.44%       7.129ms     594.083us           0 b           0 b            12  
            tvmgen_default_fused_nn_conv2d_add_8_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.802ms         0.42%       6.802ms       1.134ms           0 b           0 b             6  
       tvmgen_default_fused_nn_conv2d_add_add_16_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.721ms         0.42%       6.721ms       1.120ms           0 b           0 b             6  
        tvmgen_default_fused_nn_conv2d_add_add_3_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.346ms         0.39%       6.346ms     211.533us           0 b           0 b            30  
        tvmgen_default_fused_nn_conv2d_add_add_1_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.338ms         0.39%       6.338ms     211.267us           0 b           0 b            30  
tvmgen_default_fused_nn_conv2d_add_expand_dims_expan...         0.00%       0.000us         0.00%       0.000us       0.000us       6.287ms         0.39%       6.287ms       1.048ms           0 b           0 b             6  
