-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   tvmgen_default_fused_multiply_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     229.000us         0.01%     229.000us       7.633us           0 b           0 b            30  
                    tvmgen_default_fused_mean_10_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     223.000us         0.01%     223.000us      12.389us           0 b           0 b            18  
                 tvmgen_default_fused_variance_4_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     218.000us         0.01%     218.000us       2.422us           0 b           0 b            90  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us     216.000us         0.01%     216.000us       6.000us           0 b           0 b            36  
                tvmgen_default_fused_variance_10_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     216.000us         0.01%     216.000us      12.000us           0 b           0 b            18  
                    tvmgen_default_fused_mean_12_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     204.000us         0.01%     204.000us      34.000us           0 b           0 b             6  
                tvmgen_default_fused_variance_12_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     204.000us         0.01%     204.000us      34.000us           0 b           0 b             6  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us     196.000us         0.01%     196.000us      32.667us           0 b           0 b             6  
         tvmgen_default_fused_nn_batch_matmul_25_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     178.000us         0.01%     178.000us      29.667us           0 b           0 b             6  
tvmgen_default_fused_reshape_squeeze_multiply_add_3_...         0.00%       0.000us         0.00%       0.000us       0.000us     154.000us         0.01%     154.000us       5.133us           0 b           0 b            30  
                     tvmgen_default_fused_mean_2_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     150.000us         0.01%     150.000us      25.000us           0 b           0 b             6  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us     150.000us         0.01%     150.000us       5.000us           0 b           0 b            30  
             tvmgen_default_fused_nn_softmax_3_kernel_3         0.00%       0.000us         0.00%       0.000us       0.000us     146.000us         0.01%     146.000us       4.867us           0 b           0 b            30  
                 tvmgen_default_fused_variance_2_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     144.000us         0.01%     144.000us      24.000us           0 b           0 b             6  
tvmgen_default_fused_reshape_squeeze_reshape_transpo...         0.00%       0.000us         0.00%       0.000us       0.000us     144.000us         0.01%     144.000us       2.000us           0 b           0 b            72  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us     144.000us         0.01%     144.000us       2.182us           0 b           0 b            66  
              tvmgen_default_fused_concatenate_3_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     144.000us         0.01%     144.000us      24.000us           0 b           0 b             6  
tvmgen_default_fused_sigmoid_squeeze_multiply_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     140.000us         0.01%     140.000us      23.333us           0 b           0 b             6  
           tvmgen_default_fused_image_resize2d_2_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     126.000us         0.01%     126.000us      21.000us           0 b           0 b             6  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us     124.000us         0.01%     124.000us      20.667us           0 b           0 b             6  
             tvmgen_default_fused_nn_dense_add_4_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     120.000us         0.01%     120.000us       4.000us           0 b           0 b            30  
             tvmgen_default_fused_nn_softmax_3_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us     120.000us         0.01%     120.000us       4.000us           0 b           0 b            30  
tvmgen_default_fused_reshape_squeeze_multiply_add_4_...         0.00%       0.000us         0.00%       0.000us       0.000us     120.000us         0.01%     120.000us       4.000us           0 b           0 b            30  
             tvmgen_default_fused_nn_softmax_4_kernel_3         0.00%       0.000us         0.00%       0.000us       0.000us     120.000us         0.01%     120.000us       4.000us           0 b           0 b            30  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us     120.000us         0.01%     120.000us      10.000us           0 b           0 b            12  
               tvmgen_default_fused_nn_softmax_6_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     114.000us         0.01%     114.000us      19.000us           0 b           0 b             6  
             tvmgen_default_fused_nn_softmax_6_kernel_2         0.00%       0.000us         0.00%       0.000us       0.000us     114.000us         0.01%     114.000us      19.000us           0 b           0 b             6  
              tvmgen_default_fused_nn_conv2d_add_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      99.000us         0.01%      99.000us      16.500us           0 b           0 b             6  
             tvmgen_default_fused_nn_dense_add_3_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      98.000us         0.01%      98.000us       3.267us           0 b           0 b            30  
              tvmgen_default_fused_concatenate_4_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      93.000us         0.01%      93.000us      15.500us           0 b           0 b             6  
             tvmgen_default_fused_nn_softmax_4_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      92.000us         0.01%      92.000us       3.067us           0 b           0 b            30  
                   tvmgen_default_fused_mean_1_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      90.000us         0.01%      90.000us       1.000us           0 b           0 b            90  
               tvmgen_default_fused_variance_1_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      90.000us         0.01%      90.000us       1.000us           0 b           0 b            90  
                   tvmgen_default_fused_mean_4_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      90.000us         0.01%      90.000us       1.000us           0 b           0 b            90  
               tvmgen_default_fused_variance_4_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      90.000us         0.01%      90.000us       1.000us           0 b           0 b            90  
                   tvmgen_default_fused_mean_7_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      90.000us         0.01%      90.000us       1.000us           0 b           0 b            90  
               tvmgen_default_fused_variance_7_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      90.000us         0.01%      90.000us       1.000us           0 b           0 b            90  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us      90.000us         0.01%      90.000us      15.000us           0 b           0 b             6  
              tvmgen_default_fused_concatenate_1_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      84.000us         0.01%      84.000us       7.000us           0 b           0 b            12  
                     tvmgen_default_fused_mean_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      78.000us         0.00%      78.000us       1.000us           0 b           0 b            78  
                 tvmgen_default_fused_variance_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      78.000us         0.00%      78.000us       1.000us           0 b           0 b            78  
                     tvmgen_default_fused_mean_5_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      78.000us         0.00%      78.000us      13.000us           0 b           0 b             6  
                 tvmgen_default_fused_variance_5_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      76.000us         0.00%      76.000us      12.667us           0 b           0 b             6  
                   tvmgen_default_fused_mean_8_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      72.000us         0.00%      72.000us       1.000us           0 b           0 b            72  
               tvmgen_default_fused_variance_8_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      72.000us         0.00%      72.000us       1.000us           0 b           0 b            72  
                     tvmgen_default_fused_mean_9_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      72.000us         0.00%      72.000us       4.000us           0 b           0 b            18  
                 tvmgen_default_fused_variance_9_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      72.000us         0.00%      72.000us       4.000us           0 b           0 b            18  
tvmgen_default_fused_reshape_squeeze_multiply_add_5_...         0.00%       0.000us         0.00%       0.000us       0.000us      69.000us         0.00%      69.000us       2.300us           0 b           0 b            30  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us      69.000us         0.00%      69.000us       3.833us           0 b           0 b            18  
              tvmgen_default_fused_concatenate_5_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      68.000us         0.00%      68.000us      11.333us           0 b           0 b             6  
         tvmgen_default_fused_nn_batch_matmul_28_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      67.000us         0.00%      67.000us      11.167us           0 b           0 b             6  
                   tvmgen_default_fused_mean_3_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      66.000us         0.00%      66.000us       1.000us           0 b           0 b            66  
               tvmgen_default_fused_variance_3_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      66.000us         0.00%      66.000us       1.000us           0 b           0 b            66  
                   tvmgen_default_fused_mean_6_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      66.000us         0.00%      66.000us       1.000us           0 b           0 b            66  
               tvmgen_default_fused_variance_6_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      66.000us         0.00%      66.000us       1.000us           0 b           0 b            66  
tvmgen_default_fused_reshape_squeeze_reshape_transpo...         0.00%       0.000us         0.00%       0.000us       0.000us      60.000us         0.00%      60.000us       1.000us           0 b           0 b            60  
tvmgen_default_fused_reshape_squeeze_reshape_transpo...         0.00%       0.000us         0.00%       0.000us       0.000us      60.000us         0.00%      60.000us       1.000us           0 b           0 b            60  
             tvmgen_default_fused_nn_softmax_5_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      60.000us         0.00%      60.000us       2.000us           0 b           0 b            30  
             tvmgen_default_fused_nn_softmax_5_kernel_3         0.00%       0.000us         0.00%       0.000us       0.000us      60.000us         0.00%      60.000us       2.000us           0 b           0 b            30  
               tvmgen_default_fused_nn_softmax_7_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      60.000us         0.00%      60.000us      10.000us           0 b           0 b             6  
             tvmgen_default_fused_nn_softmax_7_kernel_2         0.00%       0.000us         0.00%       0.000us       0.000us      60.000us         0.00%      60.000us      10.000us           0 b           0 b             6  
tvmgen_default_fused_subtract_add_rsqrt_multiply_mul...         0.00%       0.000us         0.00%       0.000us       0.000us      54.000us         0.00%      54.000us       3.000us           0 b           0 b            18  
                tvmgen_default_fused_concatenate_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      54.000us         0.00%      54.000us       3.000us           0 b           0 b            18  
tvmgen_default_fused_reshape_squeeze_reshape_transpo...         0.00%       0.000us         0.00%       0.000us       0.000us      48.000us         0.00%      48.000us       2.000us           0 b           0 b            24  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us      48.000us         0.00%      48.000us       8.000us           0 b           0 b             6  
         tvmgen_default_fused_nn_batch_matmul_26_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      47.000us         0.00%      47.000us       7.833us           0 b           0 b             6  
           tvmgen_default_fused_image_resize2d_1_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      42.000us         0.00%      42.000us       7.000us           0 b           0 b             6  
tvmgen_default_fused_reshape_squeeze_add_split_multi...         0.00%       0.000us         0.00%       0.000us       0.000us      38.000us         0.00%      38.000us       6.333us           0 b           0 b             6  
tvmgen_default_fused_reshape_squeeze_add_add_3_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      36.000us         0.00%      36.000us       3.000us           0 b           0 b            12  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us      35.000us         0.00%      35.000us       5.833us           0 b           0 b             6  
             tvmgen_default_fused_nn_dense_add_1_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      31.000us         0.00%      31.000us       5.167us           0 b           0 b             6  
              tvmgen_default_fused_concatenate_2_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      30.000us         0.00%      30.000us       5.000us           0 b           0 b             6  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       4.000us           0 b           0 b             6  
tvmgen_default_fused_reshape_transpose_reshape_broad...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       2.000us           0 b           0 b            12  
tvmgen_default_fused_reshape_squeeze_add_add_reshape...         0.00%       0.000us         0.00%       0.000us       0.000us      24.000us         0.00%      24.000us       4.000us           0 b           0 b             6  
               tvmgen_default_fused_nn_dense_add_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         0.00%      18.000us       3.000us           0 b           0 b             6  
        tvmgen_default_fused_transpose_reshape_3_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         0.00%      18.000us       3.000us           0 b           0 b             6  
                   tvmgen_default_fused_mean_9_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         0.00%      18.000us       1.000us           0 b           0 b            18  
               tvmgen_default_fused_variance_9_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         0.00%      18.000us       1.000us           0 b           0 b            18  
                  tvmgen_default_fused_mean_10_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         0.00%      18.000us       1.000us           0 b           0 b            18  
              tvmgen_default_fused_variance_10_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         0.00%      18.000us       1.000us           0 b           0 b            18  
             tvmgen_default_fused_image_resize2d_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      18.000us         0.00%      18.000us       3.000us           0 b           0 b             6  
       tvmgen_default_fused_broadcast_to_reshape_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       2.000us           0 b           0 b             6  
tvmgen_default_fused_subtract_add_rsqrt_multiply_res...         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       2.000us           0 b           0 b             6  
                  tvmgen_default_fused_mean_11_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       1.000us           0 b           0 b            12  
              tvmgen_default_fused_variance_11_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       1.000us           0 b           0 b            12  
                  tvmgen_default_fused_mean_17_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       1.000us           0 b           0 b            12  
              tvmgen_default_fused_variance_17_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      12.000us         0.00%      12.000us       1.000us           0 b           0 b            12  
            tvmgen_default_fused_sigmoid_squeeze_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
                   tvmgen_default_fused_mean_2_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
               tvmgen_default_fused_variance_2_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
                   tvmgen_default_fused_mean_5_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
               tvmgen_default_fused_variance_5_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
tvmgen_default_fused_reshape_squeeze_multiply_add_6_...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
             tvmgen_default_fused_nn_softmax_6_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
             tvmgen_default_fused_nn_softmax_6_kernel_3         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
tvmgen_default_fused_reshape_squeeze_multiply_add_7_...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
             tvmgen_default_fused_nn_softmax_7_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
             tvmgen_default_fused_nn_softmax_7_kernel_3         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
                  tvmgen_default_fused_mean_12_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
              tvmgen_default_fused_variance_12_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
                  tvmgen_default_fused_mean_13_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
              tvmgen_default_fused_variance_13_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
                  tvmgen_default_fused_mean_14_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
              tvmgen_default_fused_variance_14_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
                  tvmgen_default_fused_mean_15_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
              tvmgen_default_fused_variance_15_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
                  tvmgen_default_fused_mean_16_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
              tvmgen_default_fused_variance_16_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       1.000us           0 b           0 b             6  
                                          ProfilerStep*         1.36%      21.998ms       100.00%        1.622s     270.377ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b             6  
                                         cuLaunchKernel        25.42%     412.340ms        25.42%     412.340ms      52.864us       0.000us         0.00%       0.000us       0.000us           0 b           0 b          7800  
                                  cudaDeviceSynchronize        73.23%        1.188s        73.23%        1.188s     169.704ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b             7  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.622s
Self CUDA time total: 1.611s

