iC:1280, oC:1280, input: torch.Size([2, 1280, 16, 16]), filter: torch.Size([1280, 3, 3, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 16, 16]), filter: torch.Size([1280, 1, 1, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 16, 16]), filter: torch.Size([1280, 1, 1, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 16, 16]), filter: torch.Size([1280, 3, 3, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 8, 8]), filter: torch.Size([1280, 3, 3, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 8, 8]), filter: torch.Size([1280, 3, 3, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 8, 8]), filter: torch.Size([1280, 3, 3, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 8, 8]), filter: torch.Size([1280, 3, 3, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 8, 8]), filter: torch.Size([1280, 3, 3, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 8, 8]), filter: torch.Size([1280, 3, 3, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 8, 8]), filter: torch.Size([1280, 1, 1, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 8, 8]), filter: torch.Size([1280, 1, 1, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 8, 8]), filter: torch.Size([1280, 3, 3, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 8, 8]), filter: torch.Size([1280, 3, 3, 1280])

iC:2560, oC:1280, input: torch.Size([2, 2560, 8, 8]), filter: torch.Size([1280, 3, 3, 2560])

iC:1280, oC:1280, input: torch.Size([2, 1280, 8, 8]), filter: torch.Size([1280, 3, 3, 1280])

iC:2560, oC:1280, input: torch.Size([2, 2560, 8, 8]), filter: torch.Size([1280, 1, 1, 2560])

iC:2560, oC:1280, input: torch.Size([2, 2560, 8, 8]), filter: torch.Size([1280, 3, 3, 2560])

iC:1280, oC:1280, input: torch.Size([2, 1280, 8, 8]), filter: torch.Size([1280, 3, 3, 1280])

iC:2560, oC:1280, input: torch.Size([2, 2560, 8, 8]), filter: torch.Size([1280, 1, 1, 2560])

iC:2560, oC:1280, input: torch.Size([2, 2560, 8, 8]), filter: torch.Size([1280, 3, 3, 2560])

